segment_no,text_original,text_en,polarity,confidence_percent,reasoning_en
4,[καὶ] ἆρον τὸν κράβαττόν σου καὶ περιπάτει;  ἵνα δὲ εἰδῆτε,and take up your bed and walk?' But so that you may know,0.2,65,"The command to 'get up and walk' implies healing and restoration, which is generally positive. The 'so that you may know' introduces an element of purpose."
5,ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἀφιέναι ἁμαρτίας,that the Son of Man has authority to forgive sins,0.4,80,"The statement about the Son of Man having authority to forgive sins is positive, indicating power and redemption."
6,"ἐπὶ τῆς γῆς — λέγει τῷ παραλυτικῷ  Σοὶ λέγω,","on earth"" - He said to the paralytic, ""I say to you,",0.0,50,"This segment is neutral, setting the stage for a command without expressing inherent positive or negative sentiment."
7,ἔγειρε ἆρον τὸν κράβαττόν σου καὶ ὕπαγε εἰς τὸν οἶκόν σου.  καὶ ἠγέρθη καὶ εὐθὺς ἄρας τὸν κράβαττον ἐξῆλθεν ἔμπροσθεν,"get up, take up your bed, and go to your home."" And he got up, and immediately taking up the bed, he went out before",0.7,85,"This segment describes a miraculous healing and restoration, which is highly positive."
8,"πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν","everyone, so that everyone was amazed and glorified God",0.8,90,The amazement and glorification of God indicate a very positive and uplifting event.
9,[λέγοντας] ὅτι Οὕτως οὐδέποτε εἴδαμεν.  Καὶ ἐξῆλθεν πάλιν παρὰ τὴν θάλασσαν· καὶ πᾶς,"[saying] ""We have never seen anything like this!"" And he went out again beside the sea, and all",0.6,80,"The exclamation ""We have never seen anything like this!"" expresses awe and wonder, indicating a positive sentiment. The continuation of the narrative is neutral."
10,"ὁ ὄχλος ἤρχετο πρὸς αὐτόν, καὶ ἐδίδασκεν αὐτούς.  Καὶ","the crowd was coming to him, and he was teaching them. And",0.3,70,Teaching and people gathering suggest a positive influence and reception of knowledge.
1,παράγων εἶδεν Λευεὶν τὸν τοῦ Ἁλφαίου καθήμενον ἐπὶ,"And passing by, He saw Levi, the son of Alphaeus, sitting at",0.0,60,This segment is a neutral observation of an event. It simply states that Jesus saw Levi.
2,"τὸ τελώνιον, καὶ λέγει αὐτῷ Ἀκολούθει μοι. καὶ ἀναστὰς","the tax office, and He said to him, ""Follow Me."" And rising up,",0.5,70,"This segment contains a call to action from Jesus, which can be interpreted as positive due to its association with discipleship and spiritual guidance."
3,ἠκολούθησεν αὐτῷ.  Καὶ γίνεται κατακεῖσθαι,he followed Him. And it happened that He was reclining at the table,0.3,65,Levi's act of following Jesus suggests a positive response to the call. The second part is a neutral description of a scene.
4,"αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ  συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ,","in his house, and many tax collectors and sinners were reclining at the table with Jesus and His disciples;",0.1,55,"The presence of tax collectors and sinners is a neutral observation, although it hints at a potential for controversy or judgment later on. The act of reclining together suggests fellowship."
5,ἦσαν γὰρ πολλοὶ καὶ ἠκολούθουν αὐτῷ.  καὶ οἱ γραμματεῖς,"for there were many, and they were following Him. And the scribes",0.2,60,"The first part indicates a growing following, which is generally positive. The introduction of the scribes hints at potential conflict or scrutiny."
6,τῶν Φαρισαίων ἰδόντες ὅτι ἐσθίει μετὰ τῶν ἁμαρτωλῶν,"of the Pharisees, when they saw that He was eating with the sinners",-0.2,65,"The Pharisees' observation of Jesus eating with sinners suggests disapproval or criticism, indicating a negative sentiment."
7,καὶ τελωνῶν ἔλεγον τοῖς μαθηταῖς αὐτοῦ Ὅτι,"and tax collectors, said to His disciples, ""Why is it",-0.3,70,"The Pharisees questioning Jesus's disciples implies a challenge or accusation, which carries a negative sentiment."
8,μετὰ τῶν τελωνῶν καὶ ἁμαρτωλῶν ἐσθίει;  καὶ ἀκούσας,"that He eats with the tax collectors and sinners?""",-0.4,75,"The question posed by the Pharisees is critical and judgmental, expressing a clear negative sentiment towards Jesus's association with sinners and tax collectors."
9,ὁ Ἰησοῦς λέγει αὐτοῖς [ὅτι] Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες,"Jesus heard it and said to them, ""Those who are healthy have no need",0.2,65,"Jesus's response begins to offer a justification, implying a positive intention to help those in need, although it also contains a contrast."
10,ἰατροῦ ἀλλʼ οἱ κακῶς ἔχοντες· οὐκ ἦλθον καλέσαι,"of a physician, but those who are sick; I did not come to call",0.4,70,"Jesus's statement clarifies his purpose as helping those in need, which is a positive sentiment. The analogy of a physician reinforces this positive message."
1,δικαίους ἀλλὰ ἁμαρτωλούς.  Καὶ ἦσαν οἱ μαθηταὶ,righteous but sinners. And the disciples were,-0.2,70,"The segment presents a contrast between the righteous and sinners, suggesting a potentially negative sentiment due to the presence of 'sinners'."
2,Ἰωάνου καὶ οἱ Φαρισαῖοι νηστεύοντες. καὶ ἔρχονται,of John and the Pharisees fasting. And they come,-0.1,60,"The segment mentions fasting, which can be associated with a sense of deprivation or solemnity, leading to a slightly negative sentiment."
3,καὶ λέγουσιν αὐτῷ Διὰ τί οἱ μαθηταὶ Ἰωάνου καὶ οἱ μαθηταὶ,"and they say to him, ""Why do the disciples of John and the disciples",-0.1,50,"The segment poses a question regarding the disciples of John, implying a potential conflict or difference in practice, leading to a slightly negative sentiment."
4,"τῶν Φαρισαίων νηστεύουσιν, οἱ δὲ σοὶ [μαθηταὶ] οὐ νηστεύουσιν;  καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς Μὴ δύνανται","of the Pharisees fast, but your [disciples] do not fast? And Jesus said to them, ""Can",-0.2,65,"The segment highlights a contrast between the fasting practices of different groups and questions the reason behind it, suggesting a potential disagreement or tension, leading to a slightly negative sentiment."
5,οἱ υἱοὶ τοῦ νυμφῶνος ἐν ᾧ ὁ νυμφίος μετʼ αὐτῶν ἐστὶν,"the sons of the bridechamber, while the bridegroom is with them,",0.3,70,"The segment mentions the bridegroom and the sons of the bridechamber, which evokes a sense of celebration and joy, leading to a positive sentiment."
6,νηστεύειν; ὅσον χρόνον ἔχουσιν τὸν νυμφίον μετʼ αὐτῶν οὐ δύνανται νηστεύειν·  ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ,"fast? As long as they have the bridegroom with them, they cannot fast. But days will come when the bridegroom is taken away",-0.3,75,"The segment contrasts a time of celebration with a future time of sorrow when the bridegroom is taken away, suggesting a negative sentiment due to the anticipation of loss."
7,"ἀπʼ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν ἐν ἐκείνῃ τῇ","from them, the bridegroom, and then they will fast in that",-0.4,80,"The segment explicitly mentions fasting as a consequence of the bridegroom being taken away, reinforcing the negative sentiment associated with loss and mourning."
8,ἡμέρᾳ.  οὐδεὶς ἐπίβλημα ῥάκους ἀγνάφου ἐπιράπτει ἐπὶ,day. No one sews a patch of unshrunk cloth on,0.0,50,"This segment presents a practical analogy without strong emotional connotations, resulting in a neutral sentiment."
9,"ἱμάτιον παλαιόν· εἰ δὲ μή, αἴρει τὸ πλήρωμα ἀπʼ αὐτοῦ","an old garment. If he does, the patch pulls away from it,",-0.1,60,"The segment describes a situation where something tears or pulls away, suggesting a potential for damage or failure, leading to a slightly negative sentiment."
10,"τὸ καινὸν τοῦ παλαιοῦ, καὶ χεῖρον σχίσμα γίνεται.  καὶ","the new from the old, and a worse tear is made. And",-0.5,85,"The segment explicitly mentions a 'worse tear' or schism, indicating a negative outcome and a sense of damage or division, leading to a strong negative sentiment."
1,"οὐδεὶς βάλλει οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή,","No one puts new wine into old wineskins; otherwise,",0.0,70,"This is a statement of a practical principle, without inherent positive or negative sentiment. It's observational."
2,"ῥήξει ὁ οἶνος τοὺς ἀσκούς, καὶ ὁ οἶνος ἀπόλλυται καὶ","the wine will burst the skins, and the wine is lost and",-0.5,80,"This segment describes a negative outcome (bursting, loss), indicating a negative sentiment."
3,οἱ ἀσκοί· [ἀλλὰ οἶνον νέον εἰς ἀσκοὺς καινούς.]  Καὶ ἐγένετο αὐτὸν ἐν τοῖς σάββασιν διαπορεύεσθαι,"the skins; [but new wine into new wineskins.] And it happened that he was going through the grainfields on the Sabbaths,",0.0,60,"This segment is mostly descriptive, setting the scene for a narrative. The bracketed portion is neutral, and the second part is a statement of fact."
4,"διὰ τῶν σπορίμων, καὶ οἱ μαθηταὶ αὐτοῦ ἤρξαντο","through the grainfields, and his disciples began",0.0,50,This segment is descriptive and sets the stage for an event. No inherent sentiment is present.
5,ὁδὸν ποιεῖν τίλλοντες τοὺς στάχυας.  καὶ οἱ Φαρισαῖοι,"to make their way, plucking the heads of grain. And the Pharisees",0.0,60,This segment describes an action (plucking grain) and introduces a group (Pharisees). It is neutral in sentiment.
6,ἔλεγον αὐτῷ Ἴδε τί ποιοῦσιν τοῖς σάββασιν ὃ οὐκ ἔξεστιν;  καὶ λέγει αὐτοῖς Οὐδέποτε ἀνέγνωτε τί ἐποίησεν,"said to him, ""Look, why are they doing what is not lawful on the Sabbaths?"" And he said to them, ""Have you never read what David did",-0.3,75,"The Pharisees' question implies disapproval and accusation, contributing to a slightly negative sentiment. The response is neutral."
7,Δαυεὶδ ὅτε χρείαν ἔσχεν καὶ ἐπείνασεν αὐτὸς καὶ οἱ μετʼ αὐτοῦ;  [πῶς] εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ,"David did when he was in need and hungry, both he and those who were with him? [How] he entered the house of God",-0.2,65,The mention of need and hunger introduces a slightly negative element. The rest is descriptive.
8,"ἐπὶ Ἀβιάθαρ ἀρχιερέως καὶ τοὺς ἄρτους τῆς προθέσεως  ἔφαγεν, οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ τοὺς ἱερεῖς, καὶ ἔδωκεν καὶ τοῖς σὺν αὐτῷ οὖσιν;  καὶ ἔλεγεν αὐτοῖς Τὸ","in the days of Abiathar the high priest and ate the bread of the Presence, which is not lawful to eat except for the priests, and gave it also to those who were with him?"" And he said to them, ""The",0.0,70,"This segment recounts a past event, presenting it as a justification. It doesn't carry a strong positive or negative sentiment on its own."
9,σάββατον διὰ τὸν ἄνθρωπον ἐγένετο καὶ οὐχ ὁ ἄνθρωπος  διὰ τὸ σάββατον·  ὥστε κύριός ἐστιν ὁ υἱὸς τοῦ ἀνθρώπου,"Sabbath was made for man, not man for the Sabbath. So the Son of Man is Lord",0.3,75,"This segment expresses a sense of liberation and purpose, suggesting a slightly positive sentiment. The statement about the Son of Man being Lord adds to this."
10,"καὶ τοῦ σαββάτου.  Καὶ εἰσῆλθεν πάλιν εἰς συναγωγήν, καὶ ἦν ἐκεῖ ἄνθρωπος ἐξηραμμένην ἔχων τὴν χεῖρα·  καὶ παρετήρουν αὐτὸν εἰ τοῖς σάββασιν θεραπεύσει","even of the Sabbath."" And he entered again into a synagogue, and a man was there who had a withered hand. And they watched him closely to see if he would heal him on the Sabbath.",-0.2,70,"The presence of a man with a withered hand introduces a slightly negative element (suffering). The act of being watched closely suggests tension and potential conflict, contributing to the negative sentiment."
1,"αὐτόν, ἵνα κατηγορήσωσιν αὐτοῦ.  καὶ λέγει τῷ ἀνθρώπῳ","him, so that they might accuse him. And he says to the man,",-0.3,70,The segment indicates a negative sentiment due to the intention to accuse someone.
2,τῷ τὴν χεῖρα ἔχοντι ξηράν Ἔγειρε εἰς τὸ μέσον.  καὶ,"who had a withered hand, ""Stand up in the middle."" And",-0.2,65,"The segment describes a physical ailment (withered hand), suggesting a slightly negative sentiment."
3,λέγει αὐτοῖς Ἔξεστιν τοῖς σάββασιν ἀγαθοποιῆσαι ἢ,"he says to them, ""Is it lawful on the Sabbath to do good or",0.1,55,"The segment presents a question about doing good, which has a slightly positive connotation."
4,"κακοποιῆσαι, ψυχὴν σῶσαι ἢ ἀποκτεῖναι; οἱ δὲ ἐσιώπων.  καὶ περιβλεψάμενος αὐτοὺς μετʼ ὀργῆς, συνλυπούμενος ἐπὶ","to do evil, to save life or to kill? But they were silent. And looking around at them with anger, being grieved at",-0.6,80,"The segment contains contrasting actions (save/kill, good/evil) and describes anger and grief, indicating a negative sentiment."
5,"τῇ πωρώσει τῆς καρδίας αὐτῶν, λέγει τῷ ἀνθρώπῳ Ἔκτεινον","the hardness of their hearts, he says to the man, ""Stretch out",-0.4,75,"The segment mentions the ""hardness of their hearts,"" which implies a negative moral or emotional state."
6,"τὴν χεῖρά σου· καὶ ἐξέτεινεν, καὶ ἀπεκατεστάθη ἡ","your hand."" And he stretched it out, and his hand was restored.",0.7,85,"The segment describes a healing, which is a positive event."
7,χεὶρ αὐτοῦ.  Καὶ ἐξελθόντες οἱ Φαρισαῖοι εὐθὺς μετὰ τῶν,his hand. The Pharisees went out and immediately conspired with the,-0.3,60,"The segment introduces the Pharisees conspiring, which suggests a negative plot or scheme."
8,Ἡρῳδιανῶν συμβούλιον ἐδίδουν κατʼ αὐτοῦ ὅπως αὐτὸν,"Herodians against him, how to",-0.5,75,"The segment describes a conspiracy against someone, indicating a negative sentiment."
9,ἀπολέσωσιν.  Καὶ ὁ Ἰησοῦς μετὰ τῶν μαθητῶν αὐτοῦ ἀνεχώρησεν,destroy him. And Jesus withdrew with his disciples,-0.4,70,"The segment mentions the intention to destroy someone, which is a negative sentiment, and a retreat."
10,πρὸς τὴν θάλασσαν· καὶ πολὺ πλῆθος ἀπὸ τῆς Γαλιλαίας,"to the sea, and a great multitude from Galilee",0.2,50,"The segment describes a large crowd, which can be seen as neutral to slightly positive depending on the context."
1,"ἠκολούθησεν,  καὶ ἀπὸ τῆς Ἰουδαίας καὶ ἀπὸ Ἰεροσολύμων","And followed Him, from Judea and from Jerusalem.",0.1,70,"This segment describes people following someone, which is generally neutral but can be seen as slightly positive depending on who is being followed. The mention of Judea and Jerusalem adds a historical context."
2,καὶ ἀπὸ τῆς Ἰδουμαίας καὶ πέραν τοῦ Ἰορδάνου καὶ περὶ,And from Idumea and beyond the Jordan and around,0.0,60,This segment is geographically descriptive and doesn't carry any inherent sentiment. It simply lists regions.
3,"Τύρον καὶ Σιδῶνα, πλῆθος πολύ, ἀκούοντες ὅσα ποιεῖ","Tyre and Sidon, a great multitude, hearing how many things He did",0.2,75,"The segment mentions a ""great multitude"" hearing about someone's actions. The phrase ""how many things He did"" suggests positive actions, leading to a slightly positive sentiment."
4,ἦλθαν πρὸς αὐτόν.  καὶ εἶπεν τοῖς μαθηταῖς αὐτοῦ ἵνα,Came to Him. And He told His disciples that,0.0,65,This segment is neutral in sentiment. It describes people coming to someone and that person speaking to their disciples. There's no inherent positive or negative connotation.
5,πλοιάριον προσκαρτερῇ αὐτῷ διὰ τὸν ὄχλον ἵνα μὴ θλίβωσιν,"a small boat should be kept ready for Him because of the crowd, lest they crush",-0.1,70,"The segment mentions a crowd potentially crushing someone, which introduces a slightly negative element of potential harm or discomfort. Hence, a slightly negative sentiment."
6,"αὐτόν·  πολλοὺς γὰρ ἐθεράπευσεν,","Him; for He healed many,",0.7,85,"This segment expresses a positive sentiment. The phrase ""He healed many"" indicates a beneficial action, leading to a strong positive polarity."
7,ὥστε ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται ὅσοι εἶχον μάστιγας.  καὶ τὰ,"so that they might fall upon Him, that they might touch Him, as many as had afflictions. And the",-0.2,75,"The segment describes people with ""afflictions"" falling upon someone to touch him. While the touching might be seen as seeking help, the presence of ""afflictions"" introduces a negative element, resulting in a slightly negative sentiment."
8,"πνεύματα τὰ ἀκάθαρτα, ὅταν αὐτὸν ἐθεώρουν, προσέπιπτον","unclean spirits, when they saw Him, fell down before",-0.4,80,"The segment mentions ""unclean spirits,"" which is a negative concept. Their falling down before someone doesn't necessarily negate the negativity associated with their nature. Therefore, the sentiment is negative."
9,αὐτῷ καὶ ἔκραζον λέγοντα ὅτι Σὺ εἶ ὁ υἱὸς τοῦ θεοῦ.  καὶ πολλὰ ἐπετίμα αὐτοῖς ἵνα μὴ αὐτὸν φανερὸν ποιήσωσιν.  Καὶ ἀναβαίνει εἰς τὸ ὄρος καὶ προσκαλεῖται,"Him and cried out, saying, ""You are the Son of God."" And He sternly warned them that they should not make Him known. And He went up on the mountain and called to",0.3,75,"The segment contains both positive and negative elements. The declaration ""You are the Son of God"" is positive. However, the stern warning against making Him known introduces a sense of caution or suppression. The overall sentiment leans slightly positive due to the divine declaration."
10,"οὓς ἤθελεν αὐτός, καὶ ἀπῆλθον πρὸς αὐτόν.  καὶ","those whom He Himself wanted, and they went away to Him. And",0.1,65,"This segment describes someone choosing people and them going to him. The act of choosing and going suggests a positive inclination or willingness, leading to a slightly positive sentiment."
1,"ἐποίησεν δώδεκα, οὓς καὶ ἀποστόλους ὠνόμασεν, ἵνα ὦσιν μετʼ αὐτοῦ καὶ ἵνα ἀποστέλλῃ αὐτοὺς κηρύσσειν  καὶ ἔχειν ἐξουσίαν ἐκβάλλειν τὰ δαιμόνια·  καὶ ἐποίησεν τοὺς δώδεκα (καὶ ἐπέθηκεν ὄνομα τῷ Σίμωνι) Πέτρον,  καὶ Ἰάκωβον","He appointed twelve, whom he also named apostles, so that they might be with him and he might send them out to preach and to have authority to cast out demons. And he appointed the twelve: (and he gave Simon the name) Peter, and James",0.7,80,"This segment describes a positive action of appointing apostles and giving them authority, indicating a positive sentiment."
2,"τὸν τοῦ Ζεβεδαίου καὶ Ἰωάνην τὸν ἀδελφὸν τοῦ Ἰακώβου  (καὶ ἐπέθηκεν αὐτοῖς ὄνομα Βοανηργές, ὅ ἐστιν Υἱοὶ","son of Zebedee and John the brother of James (and he gave them the name Boanerges, which means, Sons",0.3,65,"This segment is mostly descriptive, naming individuals and assigning a name with a specific meaning. The naming itself carries a slightly positive connotation."
3,"Βροντῆς),  καὶ Ἀνδρέαν καὶ Φίλιππον καὶ Βαρθολομαῖον","of Thunder), and Andrew and Philip and Bartholomew",0.0,70,"This segment is neutral, simply listing names. There is no inherent positive or negative sentiment."
4,καὶ Μαθθαῖον καὶ Θωμᾶν καὶ Ἰάκωβον τὸν τοῦ Ἁλφαίου,and Matthew and Thomas and James the son of Alphaeus,0.0,70,"This segment is neutral, simply listing names. There is no inherent positive or negative sentiment."
5,"καὶ Θαδδαῖον καὶ Σίμωνα τὸν Καναναῖον  καὶ Ἰούδαν Ἰσκαριώθ,",and Thaddaeus and Simon the Cananaean and Judas Iscariot,-0.2,60,"While mostly neutral, the mention of Judas Iscariot introduces a slightly negative sentiment due to his later betrayal."
6,"ὃς καὶ παρέδωκεν αὐτόν.  Καὶ ἔρχεται εἰς οἶκον· καὶ συνέρχεται πάλιν [ὁ] ὄχλος,","who also betrayed him. And he went home, and the crowd gathered again,",-0.6,85,"The phrase ""who also betrayed him"" indicates a strong negative sentiment due to the act of betrayal."
7,ὥστε μὴ δύνασθαι αὐτοὺς μηδὲ ἄρτον φαγεῖν.  καὶ ἀκούσαντες,so that they could not even eat. And when they heard,-0.4,75,"The inability to eat suggests a state of distress or being overwhelmed, indicating a negative sentiment."
8,"οἱ παρʼ αὐτοῦ ἐξῆλθον κρατῆσαι αὐτόν, ἔλεγον γὰρ","his relatives went out to seize him, for they were saying",-0.5,80,The act of relatives trying to seize him suggests conflict and a negative situation.
9,ὅτι ἐξέστη.  καὶ οἱ γραμματεῖς οἱ ἀπὸ Ἰεροσολύμων καταβάντες,"""He is out of his mind."" And the scribes who came down from Jerusalem",-0.6,80,"Saying someone is ""out of his mind"" is a negative judgment, indicating a negative sentiment."
10,"ἔλεγον ὅτι Βεεζεβοὺλ ἔχει, καὶ ὅτι ἐν τῷ ἄρχοντι","were saying, ""He has Beelzebul,"" and ""by the ruler",-0.8,90,"Accusing someone of being possessed by Beelzebul is a strong negative accusation, indicating a very negative sentiment."
1,τῶν δαιμονίων ἐκβάλλει τὰ δαιμόνια.  καὶ προσκαλεσάμενος,"He casts out demons by the prince of demons. And having called them to him,",0.1,65,"This segment describes the act of casting out demons, which can be interpreted as a positive action against evil, but also contains the accusation of doing so by demonic power, creating a mixed sentiment."
2,"αὐτοὺς ἐν παραβολαῖς ἔλεγεν αὐτοῖς Πῶς δύναται Σατανᾶς Σατανᾶν ἐκβάλλειν;  καὶ ἐὰν βασιλεία ἐφʼ ἑαυτὴν μερισθῇ,","he said to them in parables, ""How can Satan cast out Satan? And if a kingdom is divided against itself,""",-0.2,70,"This segment presents a rhetorical question about Satan casting out Satan, suggesting internal conflict and weakness, which carries a negative connotation. The mention of a kingdom divided against itself further reinforces this negative sentiment."
3,"οὐ δύναται σταθῆναι ἡ βασιλεία ἐκείνη·  καὶ ἐὰν οἰκία ἐφʼ ἑαυτὴν μερισθῇ, οὐ δυνήσεται ἡ οἰκία ἐκείνη στῆναι·  καὶ εἰ ὁ Σατανᾶς ἀνέστη ἐφʼ ἑαυτὸν καὶ ἐμερίσθη, οὐ δύναται","that kingdom cannot stand. And if a house is divided against itself, that house will not be able to stand. And if Satan has risen up against himself and is divided, he cannot",-0.5,80,"This segment speaks of kingdoms and houses unable to stand due to internal division, and Satan rising against himself. This conveys a strong sense of instability, conflict, and ultimate failure, resulting in a negative sentiment."
4,στῆναι ἀλλὰ τέλος ἔχει.  ἀλλʼ οὐ δύναται οὐδεὶς,"stand, but is coming to an end. But no one can",-0.6,85,"The phrase ""coming to an end"" directly indicates a negative outcome and destruction. The inability of anyone to do something further reinforces a sense of helplessness and negativity."
5,εἰς τὴν οἰκίαν τοῦ ἰσχυροῦ εἰσελθὼν τὰ σκεύη αὐτοῦ διαρπάσαι,enter a strong man's house and plunder his goods,-0.3,75,"The act of plundering suggests violence and violation, contributing to a negative sentiment. The presence of a ""strong man"" implies a potential conflict or struggle."
6,"ἐὰν μὴ πρῶτον τὸν ἰσχυρὸν δήσῃ, καὶ τότε τὴν","unless he first binds the strong man, and then he will",-0.1,70,"Binding a strong man implies a forceful and potentially violent action, which carries a slightly negative sentiment. However, it also suggests overcoming an obstacle, adding a hint of potential positivity."
7,οἰκίαν αὐτοῦ διαρπάσει.  Ἀμὴν λέγω ὑμῖν ὅτι πάντα,"plunder his house. Truly, I say to you, all",-0.2,60,"The plundering of a house continues the negative sentiment from the previous segment. The phrase ""Truly, I say to you"" is neutral in itself, but the context of plundering makes the overall sentiment slightly negative."
8,"ἀφεθήσεται τοῖς υἱοῖς τῶν ἀνθρώπων, τὰ ἁμαρτήματα καὶ","will be forgiven the children of man, all sins and",0.6,85,"The concept of forgiveness is inherently positive, suggesting redemption and release from guilt. This segment offers a message of hope and reconciliation."
9,αἱ βλασφημίαι ὅσα ἐὰν βλασφημήσωσιν·  ὃς δʼ ἂν βλασφημήσῃ,"blasphemies, whatever blasphemies they utter; but whoever blasphemes",-0.4,75,"The mention of blasphemies introduces a negative element, as it represents disrespect and offense towards the divine. The segment sets up a contrast between forgivable sins and a specific unforgivable one."
10,"εἰς τὸ πνεῦμα τὸ ἅγιον, οὐκ ἔχει ἄφεσιν εἰς τὸν","against the Holy Spirit never has forgiveness, but is guilty of",-0.8,90,"The statement that someone ""never has forgiveness"" is extremely negative, indicating eternal condemnation. This creates a strong sense of despair and hopelessness."
1,"αἰῶνα, ἀλλὰ ἔνοχός ἐστιν αἰωνίου ἁμαρτήματος.  ὅτι","but is guilty of an eternal sin.""",-0.6,80,"The segment speaks of being guilty of an eternal sin, which carries a negative sentiment."
2,ἔλεγον Πνεῦμα ἀκάθαρτον ἔχει.  Καὶ ἔρχονται,"were saying, ""He has an unclean spirit.""",-0.5,85,"The segment describes someone being accused of having an unclean spirit, which is a negative accusation."
